ROW0:26.6,26.6,26.6,26.6,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
ROW1:25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,28.4,28.4,28.4,28.4
ROW2:24.8,24.8,24.8,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4
ROW3:25.4,25.4,25.4,25.4,25.4,25.4,25.4,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.6,31.6,31.6,31.6,31.6
ROW4:25.4,25.4,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,28.1
ROW5:25.5,25.5,25.5,25.5,25.5,25.5,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,31.7,31.7,31.7,31.7,31.7
ROW6:25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,27.9
ROW7:25.4,25.4,25.4,25.4,25.4,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.3,31.3,31.3,31.3,31.3,31.3
ROW8:25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,27.8,27.8
ROW9:25.4,25.4,25.4,25.4,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,30.6,30.6,30.6,30.6,30.6,30.6,30.6
ROW10:25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,27.6,27.6,27.6
ROW11:24.4,24.4,24.4,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
ROW12:23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,25.7,25.7,25.7
ROW13:22.6,22.6,22.6,22.6,22.6,22.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,26.0,26.0,26.0,26.0,26.0,26.0
ROW14:21.2,21.2,21.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7
ROW15:20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,21.1,21.1
ROW16:20.4,20.4,20.4,20.4,20.4,20.4,20.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,24.7,24.7,24.7,24.7,24.7
ROW17:20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
ROW18:20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,21.0,21.0
ROW19:20.8,20.8,20.8,20.8,20.8,20.8,20.8,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,24.4,24.4,24.4,24.4
