ROW0:26.4,26.4,26.2,26.2,26.2,26.2,26.2,25.9,25.9,25.9,25.9,25.9,28.6,28.6,28.6,28.6,32.9,32.9,32.9,32.9,32.9,33.3,33.3,33.3,33.3,33.3,29.1,29.1,29.1,29.1
ROW1:25.3,25.3,25.3,25.3,26.7,26.7,26.7,26.7,26.7,27.8,27.8,27.8,27.8,30.0,30.0,30.0,30.0,30.0,33.7,33.7,33.7,33.7,33.7,30.3,30.3,30.3,30.3,26.8,26.8,26.8
ROW2:25.3,25.2,25.2,25.2,25.2,25.2,26.7,26.7,26.7,26.7,26.7,28.6,28.6,28.6,28.6,31.9,31.9,31.9,31.9,31.9,34.2,34.2,34.2,34.2,34.2,30.0,30.0,30.0,30.0,26.7
ROW3:25.5,25.5,25.5,29.4,29.4,29.4,29.4,29.4,27.6,27.6,27.6,27.6,28.9,28.9,28.9,28.9,28.9,31.9,31.9,31.9,31.9,31.9,28.7,28.7,28.7,28.7,26.8,26.8,26.8,26.8
ROW4:25.4,25.4,25.4,25.4,25.9,25.9,25.9,25.9,25.9,27.8,27.8,27.8,27.8,27.8,30.0,30.0,30.0,30.0,31.2,31.2,31.2,31.2,31.2,27.1,27.1,27.1,27.1,27.1,27.0,27.0
ROW5:25.9,26.4,26.4,26.4,26.4,26.4,26.2,26.2,26.2,26.2,26.2,28.5,28.5,28.5,28.5,31.3,31.3,31.3,31.3,31.3,29.2,29.2,29.2,29.2,29.2,26.8,26.8,26.8,26.8,27.6
ROW6:26.0,26.0,26.0,29.0,29.0,29.0,29.0,27.3,27.3,27.3,27.3,27.3,29.2,29.2,29.2,29.2,29.2,26.6,26.6,26.6,26.6,29.0,29.0,29.0,29.0,29.0,38.4,38.4,38.4,38.4
ROW7:26.1,26.1,26.1,26.1,25.7,25.7,25.7,25.7,25.7,27.5,27.5,27.5,27.5,27.5,29.0,29.0,29.0,29.0,26.5,26.5,26.5,26.5,26.5,36.4,36.4,36.4,36.4,36.4,35.4,35.4
ROW8:26.2,26.3,26.3,26.3,26.3,26.3,25.7,25.7,25.7,25.7,25.7,28.0,28.0,28.0,28.0,27.3,27.3,27.3,27.3,27.3,27.6,27.6,27.6,27.6,41.4,41.4,41.4,41.4,41.4,31.2
ROW9:26.4,26.4,26.4,30.3,30.3,30.3,30.3,26.4,26.4,26.4,26.4,26.4,28.8,28.8,28.8,28.8,28.8,25.9,25.9,25.9,25.9,30.9,30.9,30.9,30.9,30.9,39.8,39.8,39.8,39.8
ROW10:26.6,26.6,26.6,26.6,25.8,25.8,25.8,25.8,25.8,26.4,26.4,26.4,26.4,26.4,27.3,27.3,27.3,27.3,24.8,24.8,24.8,24.8,24.8,35.5,35.5,35.5,35.5,35.5,34.2,34.2
ROW11:27.4,27.7,27.7,27.7,27.7,27.7,26.2,26.2,26.2,26.2,26.4,26.4,26.4,26.4,26.4,23.8,23.8,23.8,23.8,23.8,24.2,24.2,24.2,24.2,35.2,35.2,35.2,35.2,35.2,31.7
ROW12:28.7,28.7,28.7,28.7,28.7,28.7,28.7,26.3,26.3,26.3,26.3,26.3,26.2,26.2,26.2,26.2,21.2,21.2,21.2,21.2,21.2,24.6,24.6,24.6,24.6,24.6,33.6,33.6,33.6,33.6
ROW13:29.9,29.9,29.9,29.9,26.2,26.2,26.2,26.2,26.2,25.7,25.7,25.7,25.7,24.4,24.4,24.4,24.4,24.4,19.6,19.6,19.6,19.6,19.6,25.3,25.3,25.3,25.3,30.4,30.4,30.4
ROW14:31.0,30.9,30.9,30.9,30.9,26.6,26.6,26.6,26.6,26.6,25.7,25.7,25.7,25.7,25.7,20.5,20.5,20.5,20.5,20.4,20.4,20.4,20.4,20.4,26.2,26.2,26.2,26.2,26.2,29.4
ROW15:31.5,31.5,26.8,26.8,26.8,26.8,26.8,26.0,26.0,26.0,26.0,24.8,24.8,24.8,24.8,24.8,19.1,19.1,19.1,19.1,19.1,22.1,22.1,22.1,22.1,26.1,26.1,26.1,26.1,26.1
ROW16:30.9,30.9,30.9,30.9,23.9,23.9,23.9,23.9,25.0,25.0,25.0,25.0,25.0,24.2,24.2,24.2,24.2,24.2,20.1,20.1,20.1,20.1,23.4,23.4,23.4,23.4,23.4,26.0,26.0,26.0
ROW17:30.2,30.2,30.2,30.2,30.2,26.5,26.5,26.5,26.5,26.5,25.9,25.9,25.9,25.9,23.0,23.0,23.0,23.0,23.0,21.6,21.6,21.6,21.6,21.6,24.3,24.3,24.3,24.3,26.3,26.3
ROW18:29.7,29.7,26.4,26.4,26.4,26.4,25.7,25.7,25.7,25.7,25.7,26.0,26.0,26.0,26.0,26.0,23.7,23.7,23.7,23.7,24.0,24.0,24.0,24.0,24.0,25.1,25.1,25.1,25.1,25.1
ROW19:28.3,28.3,28.3,25.3,25.3,25.3,25.3,25.3,25.6,25.6,25.6,25.6,25.6,25.5,25.5,25.5,25.5,24.6,24.6,24.6,24.6,24.6,25.5,25.5,25.5,25.5,25.5,25.8,25.8,25.8
ROW20:27.8,27.8,27.8,27.8,27.8,26.2,26.2,26.2,26.2,25.9,25.9,25.9,25.9,25.9,25.8,25.8,25.8,25.8,25.8,25.9,25.9,25.9,25.9,26.2,26.2,26.2,26.2,26.2,25.8,25.8
ROW21:27.1,26.4,26.4,26.4,26.4,26.4,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.8,25.8,25.8,25.8,25.8,26.4,26.4,26.4,26.4,26.4,27.0,27.0,27.0,27.0,26.4
ROW22:26.5,26.5,26.5,25.7,25.7,25.7,25.7,25.8,25.8,25.8,25.8,25.8,25.9,25.9,25.9,25.9,25.9,25.8,25.8,25.8,25.8,26.3,26.3,26.3,26.3,26.3,26.1,26.1,26.1,26.1
ROW23:25.9,25.9,25.9,25.9,26.0,26.0,26.0,26.0,26.0,26.2,26.2,26.2,26.2,26.2,26.0,26.0,26.0,26.0,26.1,26.1,26.1,26.1,26.1,26.4,26.4,26.4,26.4,26.5,26.5,26.5
ROW24:26.0,26.4,26.4,26.4,26.4,26.4,26.2,26.2,26.2,26.2,26.5,26.5,26.5,26.5,26.5,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,27.4,27.4,27.4,27.4,27.4,26.5
ROW25:26.2,26.2,26.8,26.8,26.8,26.8,26.8,26.2,26.2,26.2,26.2,26.2,26.5,26.5,26.5,26.5,26.2,26.2,26.2,26.2,26.2,26.6,26.6,26.6,26.6,26.6,27.8,27.8,27.8,27.8
ROW26:26.0,26.0,26.0,26.0,26.2,26.2,26.2,26.2,26.1,26.1,26.1,26.1,26.1,26.6,26.6,26.6,26.6,26.6,26.1,26.1,26.1,26.1,27.0,27.0,27.0,27.0,27.0,27.3,27.3,27.3
ROW27:26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.4,26.4,26.4,26.4,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.2,26.2,26.2,26.2,26.0,26.0
ROW28:26.4,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.2,26.2
ROW29:26.0,26.0,26.0,26.0,26.0,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.3,26.3,26.3,26.3,26.3,26.3,26.3
